Start StreetID,End StreetID,Infrastructure Type,Infrastructure Name,Rd Location,Two Way Travel,Length
64,254,Multiuse path,Near Chief Peguis Tl,Off Road,TRUE,100
605,1083,Spur route,,Off Road,TRUE,36
1159,1159,Multiuse path,,Off Road,TRUE,7
211,211,Neighbourhood greenway,On Scotia St,On Road,TRUE,104
131,131,Protected bike lane,On Pembina Hw,On Road,FALSE,102
796,796,Spur route,,Off Road,TRUE,9
993,993,Multiuse path,Near Sherwin Rd,Off Road,TRUE,368
667,683,Spur route,Near Abinojii Mikanah,Off Road,TRUE,20
1159,1159,Multiuse path,,Off Road,TRUE,3
715,715,Spur route,,Off Road,TRUE,28
1160,2009,Multiuse path,Near Ferrier St,Off Road,TRUE,217
68,68,Multiuse path,McGillivray Greenway,Off Road,TRUE,13
678,678,Multiuse path,Near St Annes Rd,Off Road,TRUE,8
1161,1233,Spur route,,Off Road,TRUE,38
1162,696,Spur route,Near Cypress By,Off Road,TRUE,95
1163,1163,Multiuse path (unpaved),,Off Road,TRUE,41
957,957,Multiuse path,Near Newmarket Bv,Off Road,FALSE,3
751,751,Multiuse path,Near Taylor Av,Off Road,TRUE,42
646,1455,Multiuse path,Near Ham St,Off Road,TRUE,30
58,58,Spur route,,Off Road,TRUE,7
644,644,Multiuse path,,Off Road,TRUE,16
1056,777,Multiuse path,Near Main St Bridge,Off Road,TRUE,74
1164,1342,Spur route,Near Water Bend Rd,Off Road,TRUE,5
1165,1097,Multiuse path,,Off Road,TRUE,5
357,357,Spur route,,Off Road,TRUE,9
968,1806,Neighbourhood greenway,On Roch St,On Road,TRUE,81
611,611,Multiuse path,Near Roblin Bv,Off Road,TRUE,12
1166,1223,Spur route,,Off Road,TRUE,131
1167,1167,Multiuse path,,Off Road,TRUE,12
1168,967,Multiuse path,Northeast Pioneers Greenway,Off Road,TRUE,28
1159,1159,Multiuse path,,Off Road,TRUE,6
661,661,Spur route,,Off Road,TRUE,21
69,69,Multiuse path,Near Kenaston Bv,Off Road,TRUE,4
377,377,Multiuse path,,Off Road,TRUE,12
683,667,Multiuse path,Awasisak Meskanow Greenway,Off Road,TRUE,146
1169,1169,Multiuse path,Near Couture Cr,Off Road,FALSE,2
1170,444,Spur route,Near Wayoata St,Off Road,TRUE,78
291,291,Painted bike lane,On Harrow St,On Road,TRUE,84
1159,297,Multiuse path,,Off Road,TRUE,109
1171,1171,Multiuse path,,Off Road,TRUE,22
1163,1163,Multiuse path,Near Jubilee Av,Off Road,TRUE,2
1172,1712,Spur route,,Off Road,TRUE,62
835,835,Spur route,,Off Road,TRUE,163
968,968,Multiuse path,,Off Road,TRUE,103
297,297,Multiuse path,,Off Road,TRUE,6
1173,1260,Spur route,,Off Road,TRUE,12
1174,1174,Spur route,,Off Road,TRUE,0
915,915,Multiuse path,Thundering Bison Trail,Off Road,TRUE,485
106,106,Multiuse path (unpaved),,Off Road,TRUE,44
1175,1175,Spur route,,Off Road,TRUE,34
760,760,Spur route,,Off Road,TRUE,53
1176,1585,Spur route,,Off Road,TRUE,75
640,1393,Spur route,,Off Road,TRUE,61
1177,1177,Multiuse path,,Off Road,TRUE,6
1178,1178,Spur route,Near Arrowwood Dr S,Off Road,TRUE,2
131,131,Buffered bike lane,On Pembina Hw,On Road,FALSE,47
51,51,Multiuse path,,Off Road,TRUE,5
1179,1179,Multiuse path,,Off Road,TRUE,181
1180,1180,Spur route,,Off Road,TRUE,6
831,831,Spur route,,Off Road,TRUE,61
1181,1181,Multiuse path,Near Kenaston Bv,Off Road,TRUE,7
1182,1182,Multiuse path,Near Appleford Gt,Off Road,TRUE,40
860,860,Spur route,,Off Road,TRUE,64
1183,1183,Multiuse path,,Off Road,TRUE,26
1184,1184,Spur route,,Off Road,TRUE,8
751,751,Multiuse path,Near Taylor Av,Off Road,TRUE,4
336,336,Spur route,,Off Road,TRUE,2
1185,1185,Spur route,,Off Road,TRUE,12
667,667,Multiuse path,Awasisak Meskanow Greenway,Off Road,TRUE,27
639,639,Spur route,,Off Road,TRUE,33
1186,1186,Multiuse path,Sentier Cloutier Trail,Off Road,TRUE,278
949,2010,Spur route,Near Blairmore Gr,Off Road,TRUE,133
1187,1187,Spur route,,Off Road,TRUE,2
1188,1188,Multiuse path,,Off Road,TRUE,2
194,194,Spur route,,Off Road,TRUE,47
789,1104,Spur route,,Off Road,TRUE,27
1036,1036,Multiuse path,,Off Road,TRUE,34
1189,1189,Multiuse path,Near Day St,Off Road,TRUE,5
735,735,Neighbourhood greenway,On Fleet Av,On Road,TRUE,99
1190,1190,Multiuse path (unpaved),,Off Road,TRUE,53
1191,661,Spur route,,Off Road,TRUE,88
1029,218,Multiuse path,Near Mazenod Rd,Off Road,TRUE,135
831,1512,Spur route,,Off Road,TRUE,44
910,68,Multiuse path,Near Eaglewood Dr,Off Road,TRUE,30
956,956,Multiuse path,McGillivray Greenway,Off Road,TRUE,5
1112,1112,Spur route,Near Waller Av,Off Road,TRUE,5
1192,884,Spur route,,Off Road,TRUE,68
1185,1185,Spur route,,Off Road,TRUE,22
957,957,Multiuse path,Near Ballantrae Dr,Off Road,FALSE,152
716,716,Multiuse path,Pandora Pathway,Off Road,TRUE,189
923,1374,Spur route,,Off Road,TRUE,127
