RouteID,StreetID,Pass-Up Type,Date,Day Type
1,666,Full Bus Pass-Up,06/16/2010,Weekday
1,601,Full Bus Pass-Up,01/27/2012,Weekday
1,831,Full Bus Pass-Up,05/15/2011,Sunday
1,831,Full Bus Pass-Up,03/22/2010,Weekday
1,912,Full Bus Pass-Up,06/16/2011,Weekday
1,687,Full Bus Pass-Up,06/18/2011,Saturday
1,601,Wheelchair User Pass-Up,06/07/2019,Weekday
1,831,Full Bus Pass-Up,06/16/2011,Weekday
1,787,Full Bus Pass-Up,07/08/2010,Weekday
1,787,Full Bus Pass-Up,08/11/2011,Weekday
1,29,Full Bus Pass-Up,08/10/2011,Weekday
1,831,Full Bus Pass-Up,08/18/2017,Weekday
1,601,Full Bus Pass-Up,06/21/2017,Weekday
1,687,Full Bus Pass-Up,06/16/2010,Weekday
2,831,Full Bus Pass-Up,06/02/2019,Sunday
2,64,Full Bus Pass-Up,03/29/2012,Weekday
2,831,Full Bus Pass-Up,07/28/2011,Weekday
2,88,Full Bus Pass-Up,07/08/2011,Weekday
2,687,Full Bus Pass-Up,06/17/2010,Weekday
3,64,Full Bus Pass-Up,02/11/2019,Weekday
3,1031,Full Bus Pass-Up,10/04/2012,Weekday
3,1032,Full Bus Pass-Up,02/21/2018,Weekday
3,1032,Full Bus Pass-Up,07/24/2018,Weekday
3,658,Full Bus Pass-Up,08/13/2012,Weekday
3,88,Wheelchair User Pass-Up,11/05/2018,Weekday
3,607,Wheelchair User Pass-Up,02/14/2011,Weekday
3,1032,Full Bus Pass-Up,11/09/2010,Weekday
3,607,Wheelchair User Pass-Up,12/19/2017,Weekday
3,1032,Wheelchair User Pass-Up,06/18/2012,Weekday
3,64,Full Bus Pass-Up,08/21/2018,Weekday
3,64,Full Bus Pass-Up,03/08/2012,Weekday
3,1032,Full Bus Pass-Up,07/30/2018,Weekday
3,658,Full Bus Pass-Up,08/07/2018,Weekday
3,476,Full Bus Pass-Up,07/24/2018,Weekday
3,625,Full Bus Pass-Up,11/06/2018,Weekday
3,658,Full Bus Pass-Up,02/17/2011,Weekday
3,658,Full Bus Pass-Up,04/28/2011,Weekday
3,1032,Full Bus Pass-Up,07/08/2019,Weekday
3,658,Wheelchair User Pass-Up,05/03/2019,Weekday
3,658,Full Bus Pass-Up,01/15/2019,Weekday
3,767,Full Bus Pass-Up,02/17/2011,Weekday
3,1032,Full Bus Pass-Up,07/27/2018,Weekday
3,974,Wheelchair User Pass-Up,03/22/2017,Weekday
3,601,Wheelchair User Pass-Up,08/18/2017,Weekday
3,1032,Full Bus Pass-Up,07/20/2012,Weekday
3,658,Full Bus Pass-Up,08/13/2019,Weekday
3,941,Full Bus Pass-Up,07/09/2018,Weekday
