RouteID,StopID,Schedule Period Name,Schedule Period Start Date,Schedule Period End Date,Day Type,Time Period,Average Boardings,Average Alightings
1,9391,Fall 2019,09/01/2019,12/14/2019,Saturday,Afternoon,0,0
1,9392,Fall 2018,09/02/2018,12/15/2018,Saturday,Afternoon,11.5,8.5
1,2384,Spring 2020,04/12/2020,05/02/2020,Weekday,Mid-Day,0,0
1,9393,Summer 2018,06/17/2018,09/01/2018,Weekday,Mid-Day,1,0
1,9391,Winter 2019,12/15/2019,04/11/2020,Sunday,Afternoon,0,1
1,3642,Winter 2017,12/17/2017,04/07/2018,Weekday,Mid-Day,0,3
1,9394,Winter 2019,12/15/2019,04/11/2020,Sunday,Afternoon,54,60.8
1,9395,Spring 2020,04/12/2020,05/02/2020,Weekday,Mid-Day,0,0
2,3403,Spring 2019,04/07/2019,06/15/2019,Weekday,Mid-Day,24.7,25.7
2,9396,Fall 2019,09/01/2019,12/14/2019,Weekday,PM Peak,0,1
2,9397,Fall 2019,09/01/2019,12/14/2019,Saturday,Afternoon,10.8,1
2,9396,Fall 2018,09/02/2018,12/15/2018,Weekday,PM Peak,0,1
5,9398,Spring 2020 Special,05/03/2020,08/01/2020,Saturday,Morning,0.5,0.8
5,9399,Winter 2017,12/17/2017,04/07/2018,Weekday,Night,0,1.2
5,9400,Winter 2020,12/13/2020,04/17/2021,Weekday,Morning,0.2,1.5
6,2485,Spring 2023,04/16/2023,06/17/2023,Sunday,Evening,19.5,4.2
5,2486,Winter 2020,12/13/2020,04/17/2021,Weekday,Night,1.4,1
6,9401,Spring 2024,04/14/2024,06/15/2024,Saturday,Afternoon,6.5,0
6,9402,Winter 2023,12/17/2023,04/13/2024,Sunday,Evening,0,0
6,12,Spring 2022,04/17/2022,06/18/2022,Sunday,Evening,2.5,0
6,4032,Spring 2022,04/17/2022,06/18/2022,Weekday,Mid-Day,4.4,3.5
5,9403,Spring 2019,04/07/2019,06/15/2019,Weekday,Mid-Day,7.1,35.2
5,9404,Summer 2019,06/16/2019,08/31/2019,Sunday,Evening,0,3.5
5,3662,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,1,3.6
6,9405,Winter 2021,12/12/2021,04/16/2022,Sunday,Afternoon,1.2,2.7
6,9406,Winter 2021,12/12/2021,04/16/2022,Saturday,Afternoon,0,0
5,9407,Fall 2019,09/01/2019,12/14/2019,Weekday,PM Peak,16.2,17
5,9408,Spring 2020 Special,05/03/2020,08/01/2020,Weekday,Evening,9.1,0
6,9409,Fall 2023,09/03/2023,12/16/2023,Weekday,Mid-Day,1.4,2.3
6,3728,Fall 2022,09/04/2022,12/10/2022,Weekday,Evening,0.8,0.2
6,9409,Spring 2022,04/17/2022,06/18/2022,Saturday,Afternoon,0,0.5
6,9410,Fall 2022,09/04/2022,12/10/2022,Weekday,Night,0,0.5
5,9411,Fall 2020,09/06/2020,12/12/2020,Saturday,Afternoon,0,0
5,4108,Summer 2019,06/16/2019,08/31/2019,Weekday,Evening,0.5,0
5,9412,Spring 2020 Special,05/03/2020,08/01/2020,Sunday,Morning,0,0
5,9413,Summer 2021,06/20/2021,09/04/2021,Weekday,Evening,0,2.6
6,9414,Spring 2023,04/16/2023,06/17/2023,Sunday,Evening,1.7,1
6,9415,Spring 2022,04/17/2022,06/18/2022,Weekday,Evening,0,0.5
5,351,Fall 2020,09/06/2020,12/12/2020,Weekday,Mid-Day,8.6,26.6
5,9416,Spring 2020,04/12/2020,05/02/2020,Saturday,Night,0,0
6,9417,Winter 2022,12/11/2022,04/15/2023,Weekday,Night,0,0.1
5,9417,Winter 2020,12/13/2020,04/17/2021,Saturday,Evening,0.3,0
6,9418,Fall 2023,09/03/2023,12/16/2023,Weekday,Evening,1.2,0.3
6,9419,Winter 2021,12/12/2021,04/16/2022,Sunday,Evening,0.5,0.5
5,9420,Summer 2020,08/02/2020,09/05/2020,Sunday,Afternoon,0,0
6,9421,Fall 2022,09/04/2022,12/10/2022,Weekday,Evening,3.6,0.4
5,9422,Spring 2021,04/18/2021,06/19/2021,Saturday,Evening,5,0
5,9423,Spring 2019,04/07/2019,06/15/2019,Sunday,Morning,1,0
6,3236,Winter 2022,12/11/2022,04/15/2023,Weekday,PM Peak,6.1,0.6
5,9399,Summer 2020,08/02/2020,09/05/2020,Sunday,Afternoon,0,0
5,1529,Winter 2018,12/16/2018,04/06/2019,Saturday,Night,0.5,1
5,9421,Spring 2019,04/07/2019,06/15/2019,Weekday,Morning,21.7,1.3
5,9424,Fall 2018,09/02/2018,12/15/2018,Saturday,Evening,0.5,0
5,3782,Summer 2019,06/16/2019,08/31/2019,Weekday,Night,0,0
6,9425,Fall 2023,09/03/2023,12/16/2023,Saturday,Morning,0,0
6,9426,Winter 2021,12/12/2021,04/16/2022,Weekday,Evening,1.7,2.3
6,9427,Winter 2022,12/11/2022,04/15/2023,Sunday,Afternoon,2,0
6,9413,Winter 2022,12/11/2022,04/15/2023,Weekday,Evening,0.8,3.1
5,9428,Fall 2021,09/05/2021,12/11/2021,Saturday,Morning,0,0.7
5,9429,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,1,0
5,9430,Summer 2018,06/17/2018,09/01/2018,Sunday,Afternoon,0,6
5,9431,Fall 2020,09/06/2020,12/12/2020,Weekday,Evening,1.1,0
5,9432,Fall 2019,09/01/2019,12/14/2019,Saturday,Evening,7,4.5
5,9433,Fall 2018,09/02/2018,12/15/2018,Weekday,Mid-Day,25.3,4.8
5,9434,Winter 2020,12/13/2020,04/17/2021,Weekday,Mid-Day,0.3,0.5
5,9421,Summer 2020,08/02/2020,09/05/2020,Weekday,Evening,1,0
5,2485,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,5,1
6,9435,Summer 2023,06/18/2023,09/02/2023,Saturday,Night,0,0
5,3728,Summer 2020,08/02/2020,09/05/2020,Sunday,Night,0,0
5,9436,Fall 2020,09/06/2020,12/12/2020,Sunday,Evening,0,0
5,9398,Spring 2020 Special,05/03/2020,08/01/2020,Sunday,Morning,1.3,0
5,9437,Winter 2017,12/17/2017,04/07/2018,Weekday,Mid-Day,5.4,2
5,9429,Spring 2020,04/12/2020,05/02/2020,Saturday,Afternoon,0,0
5,9438,Spring 2020,04/12/2020,05/02/2020,Weekday,Morning,0,0
5,9408,Winter 2017,12/17/2017,04/07/2018,Saturday,Afternoon,8.5,2.5
6,2370,Summer 2024,06/16/2024,08/31/2024,Weekday,Mid-Day,0,0.7
5,2486,Winter 2020,12/13/2020,04/17/2021,Sunday,Evening,2,1.3
5,9419,Spring 2021,04/18/2021,06/19/2021,Saturday,Afternoon,0,1
5,2466,Winter 2020,12/13/2020,04/17/2021,Weekday,Night,0.8,1.1
5,9439,Spring 2021,04/18/2021,06/19/2021,Sunday,Morning,0,0
5,9440,Spring 2018,04/08/2018,06/16/2018,Weekday,Evening,2,5.8
5,9441,Winter 2019,12/15/2019,04/11/2020,Weekday,Night,0,0
5,3236,Fall 2021,09/05/2021,12/11/2021,Saturday,Morning,1.8,0
6,4062,Winter 2022,12/11/2022,04/15/2023,Sunday,Morning,0,0
5,9400,Spring 2018,04/08/2018,06/16/2018,Weekday,Night,0.5,0.9
5,9442,Fall 2019,09/01/2019,12/14/2019,Sunday,Morning,0,0
6,9443,Summer 2024,06/16/2024,08/31/2024,Weekday,Night,0,0
6,3310,Summer 2023,06/18/2023,09/02/2023,Saturday,Afternoon,1.5,0
5,9425,Fall 2018,09/02/2018,12/15/2018,Weekday,Night,0,0
5,9433,Fall 2019,09/01/2019,12/14/2019,Weekday,Night,1.8,0
6,9401,Summer 2024,06/16/2024,08/31/2024,Saturday,Evening,0,3
6,2486,Spring 2024,04/14/2024,06/15/2024,Sunday,Afternoon,8,3
5,9444,Summer 2019,06/16/2019,08/31/2019,Weekday,Night,0,0
6,9445,Spring 2023,04/16/2023,06/17/2023,Sunday,Evening,0,5.2
5,3728,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,1,0
6,9446,Summer 2023,06/18/2023,09/02/2023,Weekday,Morning,4,1
6,9420,Fall 2023,09/03/2023,12/16/2023,Saturday,Morning,0,0
6,9439,Winter 2023,12/17/2023,04/13/2024,Weekday,Night,1,0
5,12,Fall 2021,09/05/2021,12/11/2021,Saturday,Night,0,0
6,4032,Fall 2022,09/04/2022,12/10/2022,Sunday,Morning,1,0
6,3681,Summer 2024,06/16/2024,08/31/2024,Saturday,Night,1,0
5,9447,Summer 2021,06/20/2021,09/04/2021,Saturday,Morning,0,0
5,4062,Fall 2020,09/06/2020,12/12/2020,Sunday,Evening,0,0
5,9448,Summer 2021,06/20/2021,09/04/2021,Weekday,Morning,0.4,3.6
5,9449,Summer 2018,06/17/2018,09/01/2018,Weekday,Evening,2.1,0
5,9445,Spring 2020 Special,05/03/2020,08/01/2020,Saturday,Evening,0,2
5,2486,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,19.9,7.7
5,9450,Winter 2020,12/13/2020,04/17/2021,Sunday,Morning,0.3,0
6,12,Winter 2022,12/11/2022,04/15/2023,Saturday,Afternoon,0.3,8
5,351,Summer 2018,06/17/2018,09/01/2018,Sunday,Evening,3,4
5,9450,Fall 2018,09/02/2018,12/15/2018,Weekday,Mid-Day,3.7,4.5
6,9451,Summer 2023,06/18/2023,09/02/2023,Saturday,Afternoon,3.7,6
5,9416,Winter 2018,12/16/2018,04/06/2019,Weekday,Mid-Day,17.3,0.3
6,9416,Spring 2023,04/16/2023,06/17/2023,Weekday,Night,0,0
5,9422,Spring 2018,04/08/2018,06/16/2018,Saturday,Evening,1,1
6,9423,Summer 2024,06/16/2024,08/31/2024,Weekday,Night,1.5,0
5,9451,Spring 2019,04/07/2019,06/15/2019,Weekday,PM Peak,3.5,7.5
5,9411,Summer 2018,06/17/2018,09/01/2018,Saturday,Evening,0,0
6,9417,Winter 2022,12/11/2022,04/15/2023,Saturday,Afternoon,1.8,0
5,9452,Fall 2018,09/02/2018,12/15/2018,Sunday,Afternoon,14.5,0
5,2370,Summer 2019,06/16/2019,08/31/2019,Sunday,Afternoon,0,1
5,9434,Summer 2018,06/17/2018,09/01/2018,Sunday,Night,1,0
5,351,Winter 2019,12/15/2019,04/11/2020,Weekday,Mid-Day,19.5,49.2
5,9436,Winter 2019,12/15/2019,04/11/2020,Saturday,Afternoon,1,4.5
5,2268,Fall 2021,09/05/2021,12/11/2021,Weekday,Night,0,0.3
6,3681,Fall 2023,09/03/2023,12/16/2023,Sunday,Evening,0,0
5,9453,Spring 2020,04/12/2020,05/02/2020,Weekday,PM Peak,0,0
5,9406,Winter 2018,12/16/2018,04/06/2019,Saturday,Afternoon,0,0
5,9454,Spring 2020 Special,05/03/2020,08/01/2020,Weekday,Night,0.3,0
6,3774,Summer 2022,06/19/2022,09/03/2022,Weekday,PM Peak,0,6.5
6,9455,Spring 2024,04/14/2024,06/15/2024,Weekday,PM Peak,13.4,0.3
6,9436,Fall 2023,09/03/2023,12/16/2023,Weekday,PM Peak,1.9,0.7
6,3728,Summer 2023,06/18/2023,09/02/2023,Saturday,Night,1,0
5,9440,Winter 2020,12/13/2020,04/17/2021,Saturday,Afternoon,0.7,3.8
6,9415,Winter 2023,12/17/2023,04/13/2024,Saturday,Night,0,0
6,9406,Winter 2022,12/11/2022,04/15/2023,Saturday,Evening,0,0
5,2268,Summer 2019,06/16/2019,08/31/2019,Weekday,PM Peak,2.2,11.3
5,9433,Summer 2019,06/16/2019,08/31/2019,Weekday,PM Peak,16.5,1.1
5,9456,Spring 2019,04/07/2019,06/15/2019,Sunday,Afternoon,0,0
6,12,Fall 2023,09/03/2023,12/16/2023,Weekday,PM Peak,12.9,5.1
5,9457,Summer 2018,06/17/2018,09/01/2018,Weekday,PM Peak,0,2.2
5,9436,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,0,1
5,9451,Winter 2018,12/16/2018,04/06/2019,Sunday,Night,2,3
5,9440,Spring 2020 Special,05/03/2020,08/01/2020,Weekday,PM Peak,1.1,2.7
5,9458,Spring 2018,04/08/2018,06/16/2018,Weekday,Night,0,1.5
6,9404,Spring 2024,04/14/2024,06/15/2024,Sunday,Afternoon,4,3
5,9448,Summer 2018,06/17/2018,09/01/2018,Sunday,Morning,0,0
5,9459,Fall 2018,09/02/2018,12/15/2018,Weekday,Morning,4.3,1.7
6,9460,Spring 2022,04/17/2022,06/18/2022,Sunday,Evening,0,0.5
5,9412,Winter 2020,12/13/2020,04/17/2021,Saturday,Night,0,0
5,9400,Winter 2019,12/15/2019,04/11/2020,Sunday,Morning,0,1
5,9433,Winter 2018,12/16/2018,04/06/2019,Weekday,PM Peak,19.8,0.7
5,2486,Spring 2018,04/08/2018,06/16/2018,Saturday,Night,6,0
5,9438,Summer 2020,08/02/2020,09/05/2020,Weekday,Evening,0,0
5,9461,Fall 2020,09/06/2020,12/12/2020,Weekday,Night,0,1.4
5,9462,Summer 2019,06/16/2019,08/31/2019,Weekday,Mid-Day,3.3,0
5,9463,Fall 2020,09/06/2020,12/12/2020,Sunday,Evening,1.5,0
6,9464,Fall 2023,09/03/2023,12/16/2023,Sunday,Afternoon,4,0
5,12,Fall 2021,09/05/2021,12/11/2021,Weekday,PM Peak,3.2,6
6,9465,Spring 2023,04/16/2023,06/17/2023,Sunday,Morning,0,0
6,9410,Winter 2023,12/17/2023,04/13/2024,Saturday,Afternoon,0,0
5,9432,Winter 2019,12/15/2019,04/11/2020,Sunday,Morning,0,3
6,9466,Winter 2021,12/12/2021,04/16/2022,Sunday,Evening,0,0.3
6,9443,Spring 2023,04/16/2023,06/17/2023,Saturday,Morning,0.3,0
5,29,Spring 2021,04/18/2021,06/19/2021,Saturday,Evening,0,0
5,9414,Winter 2017,12/17/2017,04/07/2018,Sunday,Night,0,0
6,9437,Fall 2023,09/03/2023,12/16/2023,Saturday,Afternoon,0.5,0
5,3923,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,0,0
5,9467,Winter 2019,12/15/2019,04/11/2020,Weekday,Night,0,0
6,2466,Winter 2022,12/11/2022,04/15/2023,Sunday,Evening,2.3,2.9
6,40,Winter 2021,12/12/2021,04/16/2022,Weekday,Mid-Day,0.1,3.2
5,9424,Summer 2020,08/02/2020,09/05/2020,Sunday,Afternoon,4,2
6,9434,Winter 2023,12/17/2023,04/13/2024,Saturday,Morning,0,0
5,9468,Spring 2021,04/18/2021,06/19/2021,Weekday,Evening,0,0
5,2486,Spring 2018,04/08/2018,06/16/2018,Saturday,Afternoon,10,5
6,9469,Winter 2021,12/12/2021,04/16/2022,Saturday,Morning,0,0
6,9470,Spring 2024,04/14/2024,06/15/2024,Weekday,PM Peak,0,2.3
5,9454,Fall 2019,09/01/2019,12/14/2019,Sunday,Evening,0,0
5,40,Summer 2019,06/16/2019,08/31/2019,Sunday,Night,0,0
6,9448,Spring 2022,04/17/2022,06/18/2022,Sunday,Evening,0,0
6,3923,Summer 2024,06/16/2024,08/31/2024,Saturday,Afternoon,0,1
5,9417,Fall 2020,09/06/2020,12/12/2020,Weekday,Night,0.3,0
5,2485,Fall 2018,09/02/2018,12/15/2018,Weekday,PM Peak,44.3,7.1
6,9468,Winter 2022,12/11/2022,04/15/2023,Saturday,Evening,0.9,0
5,9456,Fall 2018,09/02/2018,12/15/2018,Saturday,Morning,3.5,2
6,9435,Winter 2022,12/11/2022,04/15/2023,Sunday,Evening,0,0
6,9467,Winter 2023,12/17/2023,04/13/2024,Weekday,Morning,0.9,4.1
6,9441,Winter 2022,12/11/2022,04/15/2023,Sunday,Evening,3,0
7,3213,Summer 2021,06/20/2021,09/04/2021,Sunday,Afternoon,36.5,6.2
7,9471,Fall 2018,09/02/2018,12/15/2018,Saturday,Night,3.3,3.4
7,9472,Fall 2021,09/05/2021,12/11/2021,Weekday,PM Peak,7.3,7.4
7,3345,Spring 2021,04/18/2021,06/19/2021,Saturday,Evening,0,0
7,9473,Winter 2017,12/17/2017,04/07/2018,Saturday,Afternoon,0,8.8
7,9474,Summer 2021,06/20/2021,09/04/2021,Saturday,Night,1,0
7,9475,Spring 2022,04/17/2022,06/18/2022,Weekday,Evening,2.3,1.2
7,9476,Spring 2020 Special,05/03/2020,08/01/2020,Sunday,Evening,0,0
7,9472,Fall 2023,09/03/2023,12/16/2023,Sunday,Afternoon,10.5,14.5
7,9477,Spring 2022,04/17/2022,06/18/2022,Sunday,Morning,0,0
7,9478,Spring 2018,04/08/2018,06/16/2018,Sunday,Afternoon,0.8,0.9
7,7609,Spring 2020 Special,05/03/2020,08/01/2020,Saturday,Evening,9.3,0.2
7,9479,Winter 2021,12/12/2021,04/16/2022,Weekday,Night,0.2,1.3
7,303,Spring 2024,04/14/2024,06/15/2024,Sunday,Night,12,1
7,2533,Winter 2021,12/12/2021,04/16/2022,Weekday,Evening,1.4,0.4
7,9480,Fall 2023,09/03/2023,12/16/2023,Sunday,Morning,4,0
7,9481,Summer 2022,06/19/2022,09/03/2022,Sunday,Afternoon,0,5.4
7,9482,Summer 2020,08/02/2020,09/05/2020,Sunday,Night,0,0
7,9483,Summer 2018,06/17/2018,09/01/2018,Saturday,Afternoon,1,1
7,8352,Fall 2023,09/03/2023,12/16/2023,Sunday,Night,7.5,3.5
7,1557,Fall 2019,09/01/2019,12/14/2019,Weekday,Night,0.5,2.2
7,9484,Winter 2019,12/15/2019,04/11/2020,Sunday,Night,0,0
7,3653,Summer 2021,06/20/2021,09/04/2021,Saturday,Night,0,0
7,9485,Fall 2021,09/05/2021,12/11/2021,Sunday,Night,0,0
