StopID,StreetID,StopNumber
1,291,60902
2,720,50565
3,599,50925
4,99,40421
5,601,10546
6,898,20290
7,601,20222
8,720,50572
9,620,60875
10,720,50277
11,730,20406
12,399,10138
13,601,20600
14,669,30737
15,655,30573
16,720,50582
17,953,30249
18,669,30089
19,624,60437
20,809,10386
21,133,50408
22,920,50818
23,847,50597
24,727,11016
25,91,60133
26,23,10294
27,620,60715
28,5660,50018
29,841,10195
30,638,40546
31,68,60809
32,920,50809
33,612,20342
34,5661,11029
35,631,10355
36,446,40625
37,1025,30210
38,411,60867
39,601,10707
40,399,10700
41,601,20226
42,756,40460
43,630,60698
44,64,10639
45,88,10831
46,882,61257
47,194,60048
48,720,50267
49,601,20224
50,505,60261
51,694,40190
52,1378,30992
53,153,10109
54,652,40658
55,611,10584
56,131,60569
57,5662,60248
58,705,11034
59,902,30200
60,601,10185
61,634,10548
62,5663,60107
63,633,30098
64,713,50364
65,196,10840
66,5664,10444
67,615,40206
68,649,50544
69,131,61209
70,660,60123
71,601,40301
72,1011,20219
73,994,61256
74,325,61215
75,368,10598
76,601,40489
77,133,10558
78,634,50410
79,671,60113
80,689,61277
81,99,50169
82,99,40419
83,5665,40431
84,604,50946
85,64,60529
86,980,30096
87,674,10376
88,597,11028
89,665,30594
90,5664,30369
91,751,40225
92,407,60790
93,607,20107
94,639,10614
95,817,30534
96,664,30722
97,736,20380
98,739,61213
99,639,62018
100,751,30585
101,601,61032
102,601,20270
103,131,20418
104,5666,10075
105,628,10624
106,655,61119
107,184,30643
108,625,60713
109,639,10507
110,902,30418
111,609,10185
112,609,10125
113,29,60309
114,615,10199
115,604,50525
116,131,10780
117,694,60028
118,734,40183
119,23,20404
120,23,10287
121,957,10282
122,620,62031
123,429,60950
124,131,61252
125,636,60067
126,601,10483
127,705,10561
128,734,30325
129,688,20439
130,709,60442
131,64,40219
132,859,30092
133,102,10800
134,676,10301
135,695,50053
136,601,20325
137,601,10576
138,29,10880
139,625,10586
140,729,10515
141,670,50679
142,906,60226
143,131,30909
144,607,60239
145,99,10611
146,247,40410
147,590,30254
148,835,50321
149,807,30683
150,625,61164
151,608,10518
152,615,40675
153,631,50536
154,636,10368
155,315,10471
156,176,10171
157,713,61145
158,611,10706
159,615,60476
160,639,50542
161,602,30590
162,599,40294
163,761,50788
164,483,30905
165,695,62025
166,23,20319
167,624,10293
168,670,60449
169,796,60023
170,665,11041
171,1064,30721
172,594,50216
173,611,10328
174,832,60477
175,29,60674
176,5667,10819
177,719,50802
178,625,61110
179,694,20094
180,151,40187
181,734,50489
182,639,20398
183,718,30412
184,796,30155
185,1378,10115
186,814,30992
187,705,40504
188,601,30176
189,325,20220
190,292,10598
191,601,50133
192,601,20265
193,720,10581
194,634,60874
195,472,50558
196,184,60139
197,131,10802
198,99,60511
199,5668,60116
200,720,40419
201,611,30747
202,966,50578
203,851,60559
204,601,61117
205,601,20003
206,611,10578
207,63,10582
208,5661,60502
209,636,10428
210,91,11029
211,609,61212
212,898,10542
213,865,60458
214,683,20290
215,64,50383
216,56,50603
217,102,10642
218,649,50394
219,529,10304
220,609,60973
221,865,60800
222,601,60462
223,388,50382
224,399,10545
225,625,61245
226,696,10864
227,411,20091
228,666,50102
229,719,60816
230,1006,10628
231,634,61239
232,336,50115
233,609,60113
234,5669,50111
235,720,60387
236,64,30939
237,659,50262
238,631,10629
239,297,40591
240,601,30100
241,720,62035
242,64,10561
243,666,50570
244,615,30046
245,701,10628
246,625,50525
247,5670,50378
248,720,20095
249,872,50736
250,841,50279
251,609,20365
252,812,10195
253,639,60692
254,636,10719
255,131,30608
256,179,10459
257,645,60246
258,618,61211
259,893,60660
260,601,10419
261,601,30075
262,29,10549
263,315,10199
264,705,20270
265,5671,10059
266,697,30276
267,702,20100
268,88,60078
269,5672,60958
270,5673,10831
271,297,61273
272,601,30900
273,601,61226
274,669,10580
275,611,10576
276,720,30734
277,611,60492
278,194,50565
279,691,60572
280,604,60681
281,630,61173
282,131,10785
283,196,60590
284,297,10075
285,310,10442
286,607,61223
287,823,50617
288,604,10619
289,688,50808
290,605,60391
291,710,60451
292,658,20072
293,625,60054
294,44,10745
295,705,10135
296,684,30506
297,920,30175
298,601,10620
299,607,50944
300,601,20246
301,601,10619
302,622,20218
303,601,10545
304,1053,30315
305,800,20261
306,99,10714
307,850,10760
308,601,40693
309,768,40377
310,720,20222
311,64,10297
312,601,50570
313,683,10633
314,676,10542
315,5674,50603
316,5675,50062
317,64,60711
318,756,61042
319,407,10632
320,629,40313
321,1068,20104
322,720,40113
323,832,10695
324,727,50561
325,597,60675
326,634,10168
327,97,30637
328,64,60107
329,658,50972
330,609,30017
331,5676,10635
332,479,60374
333,29,61296
334,405,60360
335,64,10651
336,639,62016
337,44,30097
338,609,30392
339,607,30387
340,131,10149
341,601,10616
342,196,60029
343,643,20279
344,721,10205
345,23,40515
346,865,61254
347,151,10293
348,611,50387
349,601,50484
350,196,60546
351,601,10541
352,823,10201
353,64,10581
354,357,50729
355,947,30085
356,780,30407
357,411,40456
358,619,20025
359,172,60869
360,99,20179
361,614,40670
362,619,40683
363,611,30006
364,720,20180
365,625,60562
366,131,50302
367,609,10524
368,533,60260
