StreetID, Street Name
1,Enniskillen Ave
2,Lagimodiere Blvd
3,Burrows Ave
4,Donan St
5,Lansdowne Ave
6,Ellice Ave
7,Provencher Bridge
8,Kenaston Blvd
9,Tinniswood St
10,King Edward St
11,Grant Ave
12,Leahcrest Cres
13,Kingston Row
14,Watson St
15,Hurst Way
16,McAdam Ave
17,Isabel St
18,Norwood Bridge
19,Edderton Ave
20,Redwood Ave
21,Birch Gr
22,Nairn Ave
23,Arlington St
24,Radcliffe Rd
25,Beaumont St
26,Wolseley Ave
27,Fort Garry Bridge
28,Spruce St
29,Broadway
30,Laxdal Rd
31,Lodge Ave
32,Notre Dame Ave
33,Mapleglen Dr
34,Louise Bridge
35,Penfold Cres
36,St Matthews Ave
37,Oak St
38,Springfield Rd
39,Midwinter Ave
40,Concordia Ave E
41,Cormorant Bay
42,Bond St
43,Clifton St
44,Pipeline Rd
45,Birchdale Ave
46,Rosedale Ave
47,Osborne Bridge
48,Atwood St
49,Jefferson Ave
50,St Jean Baptiste St
51,Bridgeland Dr N
52,Peguis St
53,Kildare Ave W
54,Gateway Rd
55,Cumberland Ave
56,River Rd
57,Hawkins Cres
58,Hay St
59,Kilkenny Dr
60,Dale Blvd
61,Assiniboine Ave
62,Rathgar Ave
63,Keewatin St
64,Main St
65,Redwood Bridge
66,Ranchgrove Bay
67,Shelley St
68,Waverley St
69,Bison Dr
70,Rover Ave
71,Waterford Ave
72,Slaw Rebchuk Bridge
73,Hamilton Ave
74,Prairie Crocus Dr
75,De Vries Ave
76,Cambridge St
77,Hosmer Blvd
78,Warde Ave
79,Strathcona St
80,Brady Rd
81,Beaverhill Blvd
82,Alexander Ave
83,William Ave
84,Grassie Blvd
85,York Ave
86,St Vital Bridge
87,Wilkes Ave
88,Balmoral St
89,Marrington Rd
90,Logan Ave
91,Chancellor Dr
92,Silverstone Ave
93,Archibald St
94,Lindsay St
95,St Mary's Rd
96,Haney St
97,Aldgate Rd
98,Sage Creek Blvd
99,Henderson Hwy
100,Britannica Rd
101,Lee Blvd
102,McPhillips St
103,Machray Ave
104,Van Hull Way
105,Daly St S
106,Empress St
107,Portage Ave
108,Bridgeway Cres
109,Dussault Ave
110,Summit Rd
111,West Perimeter Bridge
112,Sharp Blvd
113,Warsaw Ave
114,St Vital Rd
115,Morley Ave
116,Roblin Blvd
117,Harper Ave
118,Academy Rd
119,Regent Ave W
120,PR 221
121,Pioneer Ave
122,St Anne's Rd
123,Bishop Grandin Underpass
124,Pearce Ave
125,PR 204
126,Sterling Lyon Pkwy
127,Roslyn Rd
128,Fermor Ave
129,Polson Ave
130,Bannatyne Ave W
131,Pembina Hwy
132,Irving Pl
133,Beliveau Rd
134,PTH 6
135,Charleswood Bridge
136,John Duncan Dr
137,McGillivray Blvd
138,Novavista Dr
139,Hawstead Rd
140,Red River Blvd
141,Karen St
142,Templeton Ave
143,Speers Rd
144,Buckingham Rd
145,PTH 1
146,Powers St
147,Santa Fe Dr
148,Inkster Blvd
149,Dr. Jose Rizal Way
150,Cathedrale Ave
151,Dakota St
152,Jessie Ave
153,Kingsway
154,Cathedral Ave
155,Kenny St
156,Westminster Ave
157,Main Street Bridge
158,Elm St
159,Leila Ave
160,Saratoga Cres
161,Banning St
162,Taylor Ave
163,Cullen Dr
164,Grey St
165,Selkirk Ave
166,Patricia Ave
167,Cockburn St S
168,Ness Ave
169,Silver Ave
170,Riel Ave
171,Plessis Rd
172,Molson St
173,Walker Ave
174,Beresford Ave
175,Woodbine Ave
176,Keslar Rd
177,Yale Ave
178,Kirlystone Wy
179,Plaza Dr
180,Roch St
181,Minnetonka St
182,Centennial St
183,Deerhorn Ln
184,Lindenwood Dr W
185,Elmhurst Rd
186,Beverley St
187,PTH 9
188,Crestview Park Dr
189,Eccles St
190,Murray Ave
191,Riverbend Ave
192,Wilton Bay
193,Wiginton St
194,Dalhousie Dr
195,Kingsford Ave
196,Sherbrook St
197,Ravenhurst St
198,Maryland Bridge NB
199,Norberry Dr
200,Lakewood Blvd
201,Swinford Way
202,Cathcart St
203,Hugo St S
204,Adsum Dr
205,St James Bridge SB
206,Moray St
207,Regent Ave E
208,Waterfront Rd
209,Princess St
210,Lamont Blvd
211,Scotia St
212,Greenbrier Ave
213,Salter St
214,Stafford St
215,Park Blvd  S
216,Sargent Ave
217,Henry Ave
218,Dugald Rd
219,Overwater Cv
220,Wellington Cres
221,School Rd
222,Dollard Blvd
223,Kendale Dr
224,Midtown Bridge
225,Transcona Blvd
226,Grosvenor Ave
227,Westmount Dr
228,Mollard Rd
229,Shorehill Dr
230,Stella Ave
231,McCreary Rd
232,Disraeli Bridge
233,Mountain Ave
234,Killarney St
235,Munroe Ave
236,Kildonan Settlers Bridge
237,Penrose Pl
238,Dunham St
239,Royal Mint Dr
240,PTH 3
241,Kimberly Ave
242,Portside Dr
243,Saulteaux Cres
244,St James Bridge NB
245,Wilton St
246,Dublin Ave
247,McGregor St
248,Burnell St
249,Century St
250,Charleswood Rd
251,Lanark St
252,Robindale Rd
253,Neville St
254,Chief Peguis Trail
255,Day St
256,Bishop Grandin Blvd
257,Dumoulin St
258,Walmer St
259,PTH 15
260,Guelph St
261,Victoria Cres
262,Ramp Academy WB to St James Bridge NB
263,Corydon Ave
264,Wellington Ave
265,Smithfield Ave
266,William Stephenson Way
267,Maryland Bridge SB
268,Notre Dame St
269,Youville St
270,Yanofsky Wy
271,Beaverbrook St
272,De La Digue Ave
273,Waterfront Dr
274,Mathers Ave
275,Bertrand St
276,St James St
277,Air Force Wy
278,Ainslie St
279,Pickley Cres
280,Whitley Dr
281,Alpine Ave
282,Hood Ave
283,Stefanie Dr
284,Partridge Ave
285,Aulneau St
286,Forbes Rd
287,Pepperloaf Cres
288,Baltimore Rd
289,Sardelle Cres
290,Elizabeth Rd
291,Harrow St
292,Marion St
293,Brock St
294,St Cross St
295,Reenders Dr
296,McLeod Ave
297,Bridge Lake Dr
298,St Elmo Rd
299,Ridgecrest Ave
300,River Ave
301,Time Sale Dr
302,Fernwood Ave
303,Leola St
304,South Perimeter Bridge
305,Burnside Wy
306,Oakenwald Ave
307,Garton Ave
308,Niakwa Rd
309,Windermere Ave
310,Meadowood Dr
311,Benn Ave
312,Municipal Rd
313,Frobisher Rd
314,PTH 7
315,Osborne St
316,Nassau St S
317,Royal York Dr
318,Cloutier Dr
319,Chornick Dr
320,Evanson St
321,Flora Ave
322,St Mary Ave
323,Edmonton St
324,Erin St
325,Osborne St N
326,Inglewood St
327,Bourkevale Dr
328,Kernaghan Ave
329,Nathaniel St
330,Rivergrove Dr
331,Pasadena Ave
332,Aberdeen Ave
333,Lochmoor Ave
334,Disraeli Fwy
335,Ramp St James Bridge SB to Academy EB
336,Cottonwood Rd
337,Kylemore Ave
338,Point West Dr
339,Provencher Blvd
340,King St
341,Ruskin Row
342,Waterford Bay
343,Tyndall Ave
344,Shaftesbury Blvd
345,Symington Rd
346,Lyndale Dr
347,Furby St
348,Sherburn St
349,Parkhill St
350,Gertrude Ave
351,Des Trappistes St
352,Dufferin Ave
353,Trinity St
354,Sturgeon Rd
355,Riverside Dr
356,McDermot Ave
357,Sinclair St
358,Carsdale Dr
359,Argate Dr
360,Border St
361,Arthur Wright Cres
362,Sansome Ave
363,Kingsbury Ave
364,Montrose St
365,Almey Ave
366,Island Shore Blvd
367,Winakwa Rd
368,Watt St
369,Ross Ave
370,Newman St
371,Community Row
372,PTH 190
373,Shaughnessy St
374,Tache Ave
375,Rockman St
376,Berkley St
377,Empress St E
378,Burmac Rd
379,OTHER
380,Snow St
381,Johnson Ave W
382,Worthington Ave
383,Fairfield Ave
384,Kebir Pl
385,Cambie Rd
386,Montvale Cres
387,William R. Clement Pkwy
388,Tim Sale Dr
389,Brandon Ave
390,Fairmont Rd
391,Scurfield Blvd
392,Enfield Cres
393,Park Blvd  N
394,Edderton Bay
395,Turenne St
396,Noble Ave
397,Lochinvar Ave
398,Burning Glass Rd
399,Kennedy St
400,Saskatchewan Ave
401,University Cres
402,Oak Point Hwy
403,Carmen Ave
404,Scarfe St
405,Markham Rd
406,Setter St
407,Ferry Rd
408,Glenwood Cres
409,Yardley St
410,Lumsden Ave
411,Lindenwood Dr E
412,Higgins Ave
413,Parker Ave
414,Greenwood Ave
415,Talbot Ave
416,Pacific Ave W
417,Grantsmuir Dr
418,Marymound Way
419,Knowles Ave
420,Bethray Bay
421,Borebank St
422,Fraser Rd
423,Balfour Ave
424,Ramp Kingston to Dunkirk SB
425,Home St
426,Dominion St
427,Carlaw Ave
428,Poseidon Bay
429,Kirkbridge Dr
430,Amberstone Rd
431,Hawthorne Ave
432,Buxton Rd
433,Langside St
434,Ravelston Ave W
435,Wardlaw Ave
436,Portsmouth Blvd
437,Gunn Rd
438,Grandmont Blvd
439,McKenzie St
440,Arthur St
441,Brazier St
442,Moberly Ave
443,Horace St
444,Wayoata St
445,PTH 2
446,Headmaster Row
447,Capston Rd
448,Armstrong Ave
449,Amber Tl
450,Chancellor Matheson Rd
451,Beiko Ave
452,Pandora Ave E
453,Redonda St
454,Kelvin Blvd
455,Margate Rd
456,Linwood St
457,Rice Rd
458,Raleigh St
459,PR 241
460,Liberty St
461,Imperial Ave
462,Continental Ave
463,Maryland St
464,Holden Ave
465,Sadler Ave
466,Dingle St
467,Al Thompson Dr
468,Gull Lake Rd
469,PR 427
470,Rose Hill Wy
471,Highfield St
472,Westbrook St
473,Ord St
474,Rothesay St
475,Guilbault St
476,Smith St
477,Spence St
478,Marbury Rd
479,Niagara St
480,Donald St
481,Strasbourg Dr
482,PTH 59
483,North Town Rd
484,Hindley Ave
485,Madeline St
486,Des Meurons St
487,Jolliett Cres
488,Collegiate St
489,Endcliffe Pl
490,Ash St
491,Stradbrook Ave
492,Pebble Beach Rd
493,De Leglise Ave
494,Cordova St
495,Eugenie St
496,Berry St
497,Gamble Pl
498,Storie Rd
499,Glenlawn Ave
500,Vimy Rd
501,Harbison Ave W
502,Brookside Blvd
503,Basswood Pl
504,Martin Ave W
505,Point Rd
506,Churchill Dr
507,PR 425
508,PTH 8
509,Stadacona St
510,Palk Rd
511,Riveroaks Dr
512,Woodydell Ave
513,Portage Ave E
514,Lemay Ave
515,Redview Dr
516,Manitoba Ave
517,Tuxedo Ave
518,West Fernwood Ave
519,Hargrave St
520,Huber St
521,Colony St
522,Alburg Dr
523,Ritchie St
524,Queenston St
525,St Vital Park West Entrance
526,Somerset Ave
