Study ID,StreetID,Count Date,Day Type,Location Description,Count Direction,Count 15 Minutes,Configuration,Street From,Street To
12954,573,02/02/2016,Weekday,Valley View Dr - Heritage Blvd  to Valley View Pl,Eastbound,2,Two Direction Undivided,Heritage Blvd,Valley View Pl
12976,170,04/12/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Eastbound,18,Two Direction Undivided,Metz St,Minnetonka St
12976,170,04/12/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Westbound,7,Two Direction Undivided,Metz St,Minnetonka St
12976,170,04/13/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Westbound,21,Two Direction Undivided,Metz St,Minnetonka St
12976,170,04/13/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Westbound,12,Two Direction Undivided,Metz St,Minnetonka St
12976,170,04/12/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Westbound,0,Two Direction Undivided,Metz St,Minnetonka St
12976,170,04/13/2016,Weekday,Riel Ave - Metz St to Minnetonka St,Eastbound,1,Two Direction Undivided,Metz St,Minnetonka St
12977,170,04/12/2016,Weekday,Riel Ave - Darwin St to Metz St,Eastbound,10,Two Direction Undivided,Darwin St,Metz St
12977,170,04/13/2016,Weekday,Riel Ave - Darwin St to Metz St,Eastbound,10,Two Direction Undivided,Darwin St,Metz St
12977,170,04/12/2016,Weekday,Riel Ave - Darwin St to Metz St,Eastbound,6,Two Direction Undivided,Darwin St,Metz St
12977,170,04/13/2016,Weekday,Riel Ave - Darwin St to Metz St,Westbound,0,Two Direction Undivided,Darwin St,Metz St
12978,170,04/12/2016,Weekday,Riel Ave - Fernleaf Dr to Oakleaf Dr,Eastbound,8,Two Direction Undivided,Fernleaf Dr,Oakleaf Dr
12978,170,04/11/2016,Weekday,Riel Ave - Fernleaf Dr to Oakleaf Dr,Westbound,12,Two Direction Undivided,Fernleaf Dr,Oakleaf Dr
12978,170,04/13/2016,Weekday,Riel Ave - Fernleaf Dr to Oakleaf Dr,Westbound,0,Two Direction Undivided,Fernleaf Dr,Oakleaf Dr
12978,170,04/13/2016,Weekday,Riel Ave - Fernleaf Dr to Oakleaf Dr,Westbound,0,Two Direction Undivided,Fernleaf Dr,Oakleaf Dr
12978,170,04/12/2016,Weekday,Riel Ave - Fernleaf Dr to Oakleaf Dr,Westbound,15,Two Direction Undivided,Fernleaf Dr,Oakleaf Dr
12979,170,04/12/2016,Weekday,Riel Ave - River Rd to St Germain St,Westbound,5,Two Direction Undivided,River Rd,St Germain St
12979,170,04/12/2016,Weekday,Riel Ave - River Rd to St Germain St,Westbound,14,Two Direction Undivided,River Rd,St Germain St
12980,461,04/13/2016,Weekday,Imperial Ave - Des Meurons St to St Anne's Rd,Eastbound,3,Two Direction Undivided,St Anne's Rd,Des Meurons St
12981,461,04/11/2016,Weekday,Imperial Ave - Des Meurons St to Egerton Rd,Westbound,5,Two Direction Undivided,Des Meurons St,Egerton Rd
12981,461,04/13/2016,Weekday,Imperial Ave - Des Meurons St to Egerton Rd,Westbound,0,Two Direction Undivided,Des Meurons St,Egerton Rd
12981,461,04/12/2016,Weekday,Imperial Ave - Des Meurons St to Egerton Rd,Westbound,2,Two Direction Undivided,Des Meurons St,Egerton Rd
12982,286,04/12/2016,Weekday,Forbes Rd - St Mary's Rd to Two Mile Rd,Westbound,0,Two Direction Undivided,St Mary's Rd,Two Mile Rd
12982,286,04/13/2016,Weekday,Forbes Rd - St Mary's Rd to Two Mile Rd,Eastbound,0,Two Direction Undivided,St Mary's Rd,Two Mile Rd
12982,286,04/13/2016,Weekday,Forbes Rd - St Mary's Rd to Two Mile Rd,Westbound,0,Two Direction Undivided,St Mary's Rd,Two Mile Rd
12982,286,04/13/2016,Weekday,Forbes Rd - St Mary's Rd to Two Mile Rd,Eastbound,8,Two Direction Undivided,St Mary's Rd,Two Mile Rd
12983,420,04/14/2016,Weekday,Bethray Bay  - English Pl to End,Eastbound,0,Two Direction Undivided,Metz St,End
12983,420,04/13/2016,Weekday,Bethray Bay  - English Pl to End,Eastbound,1,Two Direction Undivided,Metz St,End
12983,420,04/11/2016,Weekday,Bethray Bay  - English Pl to End,Eastbound,0,Two Direction Undivided,Metz St,End
12983,420,04/11/2016,Weekday,Bethray Bay  - English Pl to End,Eastbound,1,Two Direction Undivided,Metz St,End
12984,420,04/14/2016,Weekday,Bethray Bay  - English Pl to End,Northbound,0,Two Direction Undivided,English Pl,End
12984,420,04/14/2016,Weekday,Bethray Bay  - English Pl to End,Northbound,0,Two Direction Undivided,English Pl,End
12984,420,04/13/2016,Weekday,Bethray Bay  - English Pl to End,Southbound,0,Two Direction Undivided,English Pl,End
12985,183,04/12/2016,Weekday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Eastbound,0,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12985,183,04/18/2016,Weekday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Westbound,0,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12985,183,04/12/2016,Weekday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Eastbound,0,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12985,183,04/15/2016,Weekday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Westbound,2,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12985,183,04/19/2016,Weekday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Westbound,0,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12985,183,04/17/2016,Sunday,Deerhorn Ln - Sandylands Pl to Voyageur Ave,Eastbound,0,Two Direction Undivided,Sandylands Pl,Voyageur Ave
12986,200,04/14/2016,Weekday,Lakewood Blvd  - Autumnwood Dr to Weatherstone Pl,Northbound,73,Two Direction Divided,Fermor Ave,Vermillion Rd
12986,200,04/20/2016,Weekday,Lakewood Blvd  - Autumnwood Dr to Weatherstone Pl,Northbound,58,Two Direction Divided,Fermor Ave,Vermillion Rd
12986,200,04/20/2016,Weekday,Lakewood Blvd  - Autumnwood Dr to Weatherstone Pl,Southbound,49,Two Direction Divided,Fermor Ave,Vermillion Rd
12987,200,04/21/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,113,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/14/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,68,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/20/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Southbound,87,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/16/2016,Saturday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Southbound,39,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/21/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,7,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/21/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,4,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/21/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Southbound,161,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/18/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,67,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12987,200,04/20/2016,Weekday,Lakewood Blvd  - Brookhaven Bay  to Meadowbrook Rd,Northbound,1,Two Direction Undivided,Meadowbrook Rd,Brookhaven Bay
12988,200,04/16/2016,Saturday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Northbound,59,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/13/2016,Weekday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Southbound,98,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/18/2016,Weekday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Southbound,1,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/16/2016,Saturday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Southbound,117,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/16/2016,Saturday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Northbound,108,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/20/2016,Weekday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Northbound,81,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/15/2016,Weekday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Southbound,89,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12988,200,04/13/2016,Weekday,Lakewood Blvd  - Tahoe Bay  to Tahoe Bay,Northbound,14,Two Direction Undivided,Tahoe Bay,Tahoe Bay
12989,200,04/21/2016,Weekday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Northbound,76,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/20/2016,Weekday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Northbound,3,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/13/2016,Weekday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Southbound,106,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/13/2016,Weekday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Northbound,49,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/16/2016,Saturday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Southbound,111,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/15/2016,Weekday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Northbound,80,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12989,200,04/16/2016,Saturday,Lakewood Blvd  - Burntwood Cres  to Tamarac Bay,Southbound,109,Two Direction Undivided,Burntwood Cres,Tamarac Bay
12990,283,04/21/2016,Weekday,Stefanie Dr - Kirlystone Wy to McLeod Ave,Northbound,5,Two Direction Undivided,Kirlystone Wy,McLeod Ave
12990,283,04/20/2016,Weekday,Stefanie Dr - Kirlystone Wy to McLeod Ave,Northbound,18,Two Direction Undivided,Kirlystone Wy,McLeod Ave
